claim_id,section,evidence_tier,claim_type,proposed_claim,proposition,dataset,validation_evidence,quantitative_anchor,limitation,allowed_strength,prohibited_extrapolation,status
C01,1;8,T1_THEOREM,Framework statement,Matrix-space smallness alone is insufficient to determine a realized directional solution response.,P1;P2,ANALYTIC_PROOF_AND_P2_REGISTERED_REPRODUCTION,Paper2_G2_02_Mathematical_Formalization/proposition_library.md; Paper2_G2_03/P2_validation.md,"P2 matched mu_J, rho_1, and rho_g; eta_A nonzero and eta_B zero","Existence result only; no prevalence, probability, safety, or harm conclusion.",State as an exact insufficiency result under declared norms and probes.,A small guard is generally unsafe or harmless.,READY
C02,1;2,T1_THEOREM,Proposition,"For common coordinates and right-hand side, the finite response satisfies the exact guarded-inverse identity.",P1,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,Exact algebraic identity,"Requires J and J+DeltaJ nonsingular and the same solved space, coordinates, and right-hand side.",Use proves or satisfies under the assumptions.,Changed residual roots or nonlinear trajectories follow the same identity.,READY
C03,2,T1_THEOREM,Corollary,The realized response is bounded by the exact guarded-inverse amplification in a compatible subordinate norm.,P1,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,eta_z <= rho_g,Worst-direction bound; not equality for a selected probe.,Use bounds under the declared norm.,rho_g is the observed response.,READY
C04,2,T1_THEOREM,Corollary,"When rho_1 is below one, the finite response admits the Neumann-series bound with its denominator retained.",P1-C1,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,eta_z <= rho_1/(1-rho_1),Requires rho_1<1; first-order shorthand is asymptotic only.,Use finite bound with assumptions.,Drop the denominator outside the asymptotic regime.,READY
C05,1;2,T1_THEOREM,Bounded interpretation,kappa(J)mu_J is a worst-case normwise comparison and not a directional mechanism classifier.,P1-C2,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md; Paper2_G2_01_Theory_Audit/04_claim_boundary_matrix.md,rho_1 <= kappa(J)mu_J,"Depends on coordinates, norm, nonsingularity, and perturbation model.",Use as a loose worst-case comparison.,Condition number alone identifies the observed mechanism.,READY
C06,3;8,T1_THEOREM,Exact counterexample,Matched matrix amplitude and worst-direction metrics can yield different realized responses for one fixed probe.,P2,P2_EXACT_TWO_DIMENSIONAL_COUNTEREXAMPLE,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,eta_A=epsilon/(1+epsilon); eta_B=0,Exact existence counterexample only.,Use proves non-determination.,"Typicality, frequency, mesh law, safety, or harm.",READY
C07,3,T2_VALIDATED_REGISTERED,Numerical validation,The registered P2 calculation reproduces the exact metric match and response distinction for six frozen perturbation magnitudes.,P2,G2_03_P2_SIX_EPSILON_ROWS,Paper2_G2_03/P2_validation.md; Paper2_G2_03/counterexamples/P2_counterexample.csv,metric pair relative difference=0; eta_A relative error<=8.721173782511926E-102; eta_B absolute max=0,High-precision reproduction of the exact example; not a statistical study.,Use validates or reproduces.,General operator-family frequency.,READY
C08,4;8,T1_THEOREM,Coordinate transformation proposition,A physical-coordinate identity guard generally transforms to epsilon D_r^(-1)D_x rather than the same scalar identity.,P3-A,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,DeltaJ_hat=epsilon D_r^(-1)D_x,Requires declared nonsingular D_x and D_r.,Use proves coordinate dependence of the representation.,Every physical identity guard is harmful.,READY
C09,4,T1_THEOREM,Coordinate transformation proposition,A dimensionless identity guard maps to a generally field-dependent physical perturbation.,P3-B,ANALYTIC_PROOF,Paper2_G2_02_Mathematical_Formalization/proposition_library.md,DeltaJ_phys=beta D_r D_x^(-1),Does not select unique or physically correct scales.,Use proves the reverse mapping.,The selected scaling is optimal or uniquely physical.,READY
C10,4,T2_VALIDATED_REGISTERED,Numerical validation,Consistent transformation preserves the registered physical operator and response across the tested coordinate descriptions.,P3,G2_03_P3_SCALING_AUDIT,Paper2_G2_03/P3_validation.md; Paper2_G2_03/counterexamples/P3_scaling_audit.csv,operator relative difference<=7.490674676829096E-102; response spread=0,Only the frozen two-dimensional construction and registered scales.,Use validates equivalent transformation in the tested audit.,Universal invariance of independently redeclared guards.,READY
C11,4,T2_VALIDATED_REGISTERED,Numerical validation,Redeclaring the same numeric identity after scaling defines a different physical perturbation for every registered scale factor above one.,P3-C1,G2_03_P3_SCALING_AUDIT,Paper2_G2_03/P3_validation.md,redeclared differs for all s>1,Registered scale factors only; no safer-scale conclusion.,Use demonstrates within the frozen audit.,One coordinate system is safer or optimal.,READY
C12,5;8,T1_THEOREM,Conditional enclosure,Direct subtraction supports an observability statement only when parent-solution and subtraction-error bounds cover the declared truth lane.,P4,ANALYTIC_PROOF_AND_P4_R1_ERROR_MODEL,Paper2_G2_02_Mathematical_Formalization/proposition_library.md; Paper2_G2_03r1_P4_UncertaintyCoverageRevision/inputs/p4_r1_contract.json,norm(delta_obs-delta_z)<=U_direct,Conditional on valid error bounds; no intrinsic binary64 threshold.,Use conditional on the registered error model.,Direct subtraction is universally unreliable or always reliable.,READY
C13,5,T2_VALIDATED_REGISTERED,Method contract,"Source-truth and binary-operand truth require separate, non-mixed uncertainty lanes in the registered P4-r1 audit.",P4,P4_R1_DEVELOPMENT_AND_HOLDOUT,Paper2_G2_03r1_P4_UncertaintyCoverageRevision/P4_R1_MODEL_REPORT.md; inputs/p4_r1_contract.json,truth lane mixing=FORBIDDEN,"A registered audit contract, not a universal theorem about all floating-point studies.",Use defines the validated two-truth procedure.,One truth lane can be substituted for the other.,READY
C14,5,T2_VALIDATED_REGISTERED,Historical reproduction,The historical direct uncertainty model is reproduced exactly at 287/300 coverage with three severe undercoverage cases.,P4,G2_03_DEVELOPMENT_300,Paper2_G2_03/G2_03_status_report.md; Paper2_G2_03r1_P4_UncertaintyCoverageRevision/outputs/legacy_reproduction.json,coverage=287/300; severe=3,Motivates revision; does not establish a guard defect.,Use reproduces and discloses.,The guard caused the undercoverage.,READY
C15,5;8,T2_VALIDATED_REGISTERED,Registered coverage result,"The revised source and binary envelopes cover all 300 registered development cases with no severe, component, subtraction, or nonfinite failures.",P4,P4_R1_DEVELOPMENT_300,Paper2_G2_03r1_P4_UncertaintyCoverageRevision/outputs/P4_R1_summary.json; P4_R1_MODEL_REPORT.md,source=300/300; binary=300/300; severe=0,"Dimensions 2,4,8,16 and registered decimal families only; coverage is not tightness.",Use validates coverage on the registered development set.,Universal error bound or classification sharpness.,READY
C16,5;8,T2_VALIDATED_REGISTERED,Holdout coverage result,"The revised source and binary envelopes cover all 300 disjoint registered holdout cases with no severe, component, subtraction, or nonfinite failures.",P4,P4_R1_HOLDOUT_300,Paper2_G2_03r1_P4_UncertaintyCoverageRevision/outputs/P4_R1_summary.json; P4_R1_MODEL_REPORT.md,source=300/300; binary=300/300; severe=0,Registered holdout design only; no extrapolation to WP27 dimensions 196/900.,Use validates coverage on the registered holdout.,Universal coverage or WP27 class validation.,READY
